scientific_name,name_da,status,source,license,attribution,issues,recommendations
"Turdus merula","Solsort","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Turdus%20merula; Document original source or replace with properly attributed image"
"Passer domesticus","Gråspurv","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Passer%20domesticus; Document original source or replace with properly attributed image"
"Passer montanus","Skovspurv","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Passer%20montanus; Document original source or replace with properly attributed image"
"Parus major","Musvit","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Parus%20major; Document original source or replace with properly attributed image"
"Cyanistes caeruleus","Blåmejse","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Cyanistes%20caeruleus; Document original source or replace with properly attributed image"
"Periparus ater","Sortmejse","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Periparus%20ater; Document original source or replace with properly attributed image"
"Lophophanes cristatus","Topmejse","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Lophophanes%20cristatus; Document original source or replace with properly attributed image"
"Aegithalos caudatus","Halemejse","critical","inaturalist","CC BY-NC","(c) Игорь Двуреков, some rights reserved (CC BY-NC)","Non-commercial license (blocks commercial use); Copyright symbol without CC license","Replace with CC-BY or CC0 licensed image; Verify license status and document CC license if available"
"Fringilla coelebs","Bogfinke","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Fringilla%20coelebs; Document original source or replace with properly attributed image"
"Chloris chloris","Grønirisk","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Chloris%20chloris; Document original source or replace with properly attributed image"
"Carduelis carduelis","Stillits","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Carduelis%20carduelis; Document original source or replace with properly attributed image"
"Linaria cannabina","Tornirisk","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Linaria%20cannabina; Document original source or replace with properly attributed image"
"Pyrrhula pyrrhula","Dompap","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Pyrrhula%20pyrrhula; Document original source or replace with properly attributed image"
"Coccothraustes coccothraustes","Kernebider","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Coccothraustes%20coccothraustes; Document original source or replace with properly attributed image"
"Columba palumbus","Ringdue","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Columba%20palumbus; Document original source or replace with properly attributed image"
"Streptopelia decaocto","Tyrkerdue","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Streptopelia%20decaocto; Document original source or replace with properly attributed image"
"Pica pica","Husskade","critical","cached","","","Missing attribution; Unclear source (cached/unknown)","Search iNaturalist: https://www.inaturalist.org/observations?taxon_name=Pica%20pica; Document original source or replace with properly attributed image"
